"";"codeplas";"SO4_gem"
"1";"ANTMRK0177";2,79416666666667
"2";"ANTMRK0204";0,666666666666667
"3";"ANTMRK0206";87,2683333333333
"4";"ANTOTH0271";7,10454545454545
"5";"ANTOTH0306";1,97454545454545
"6";"ANTOTH0324";1,06166666666667
"7";"ANTRAV0014";0,405833333333333
"8";"ANTRAV0052";27,0466666666667
"9";"ANTRAV0122";0,08
"10";"ANTRAV0175";1,82833333333333
"11";"ANTRAV0188";22,4033333333333
"12";"ANTRAV0208";13,3133333333333
"13";"ANTRAV0211";28,8046153846154
"14";"ANTRAV0230";6,33230769230769
"15";"ANTRAV0293";53,824
"16";"ANTTUR0018";6,90769230769231
"17";"ANTTUR0022";1,43272727272727
"18";"ANTTUR0046";3,39272727272727
"19";"ANTTUR0065";11,5207142857143
"20";"ANTTUR0077";6,12
"21";"ANTTUR0079";22,9772727272727
"22";"ANTTUR0082";7,15733333333333
"23";"ANTTUR0094";17,3866666666667
"24";"ANTTUR0257";3,1125
"25";"ANTTUR0270";0,338181818181818
"26";"ANTTUR0273";0,503636363636364
"27";"ANTTUR0277";7,30692307692308
"28";"ANTTUR0282";1,40285714285714
"29";"ANTTUR0287";54,1275
"30";"ANTTUR0292";0,488571428571429
"31";"ANTTUR0295";1,72769230769231
"32";"ANTTUR0296";3,44538461538462
"33";"ANTTUR0297";2,28214285714286
"34";"ANTTUR0299";6,635
"35";"ANTTUR0300";12,4416666666667
"36";"ANTTUR0301";17,2491666666667
"37";"ANTTUR0302";4,87583333333333
"38";"ANTTUR0304";10,5478571428571
"39";"ANTTUR0305";8,73666666666667
"40";"ANTTUR0674";4,85307692307692
